,parti,abstention,contre,pour,vote_uid
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V2190
1,La République en Marche,1.0,43.0,19.0,VTANR5L15V2190
2,Les Républicains,0.0,18.0,0.0,VTANR5L15V2190
3,Mouvement Démocrate,1.0,8.0,0.0,VTANR5L15V2190
4,Non rattaché,0.0,0.0,1.0,VTANR5L15V2190
5,Parti communiste français,0.0,0.0,4.0,VTANR5L15V2190
6,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V2190
7,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V2190
8,Parti socialiste,0.0,0.0,9.0,VTANR5L15V2190
9,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V2190
10,"Union des démocrates, radicaux et libéraux",0.0,3.0,0.0,VTANR5L15V2190
0,Calédonie Ensemble,0.0,0.0,1.0,VTANR5L15V1234
1,La France Insoumise,2.0,0.0,0.0,VTANR5L15V1234
2,La République en Marche,0.0,51.0,0.0,VTANR5L15V1234
3,Les Républicains,0.0,0.0,28.0,VTANR5L15V1234
4,Mouvement Démocrate,1.0,0.0,4.0,VTANR5L15V1234
5,Parti communiste français,0.0,0.0,3.0,VTANR5L15V1234
6,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V1234
7,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1234
8,Rassemblement national,0.0,0.0,3.0,VTANR5L15V1234
9,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V1234
0,La France Insoumise,0.0,2.0,0.0,VTANR5L15V1328
1,La République en Marche,0.0,0.0,27.0,VTANR5L15V1328
2,Mouvement Démocrate,0.0,0.0,1.0,VTANR5L15V1328
3,Non rattachée,0.0,0.0,1.0,VTANR5L15V1328
4,Parti communiste français,0.0,2.0,0.0,VTANR5L15V1328
5,Parti socialiste,0.0,2.0,0.0,VTANR5L15V1328
0,La France Insoumise,0.0,0.0,6.0,VTANR5L15V3235
1,La République en Marche,0.0,59.0,0.0,VTANR5L15V3235
2,Les Républicains,0.0,10.0,0.0,VTANR5L15V3235
3,Mouvement Démocrate,0.0,7.0,0.0,VTANR5L15V3235
4,Parti communiste français,0.0,0.0,2.0,VTANR5L15V3235
5,"Union des démocrates, radicaux et libéraux",0.0,2.0,0.0,VTANR5L15V3235
0,Cap sur l'avenir,1.0,0.0,0.0,VTANR5L15V2450
1,La France Insoumise,0.0,0.0,2.0,VTANR5L15V2450
2,La République en Marche,5.0,28.0,0.0,VTANR5L15V2450
3,Les Républicains,0.0,0.0,5.0,VTANR5L15V2450
4,Mouvement Démocrate,3.0,0.0,0.0,VTANR5L15V2450
5,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V2450
6,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V2450
7,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2450
8,Régions et peuples solidaires,0.0,0.0,6.0,VTANR5L15V2450
9,"Union des démocrates, radicaux et libéraux",0.0,0.0,6.0,VTANR5L15V2450
0,Debout la France,0.0,0.0,1.0,VTANR5L15V1768
1,La République en Marche,0.0,0.0,38.0,VTANR5L15V1768
2,Les Républicains,8.0,3.0,0.0,VTANR5L15V1768
3,Mouvement Démocrate,0.0,0.0,8.0,VTANR5L15V1768
4,Non rattaché,0.0,0.0,1.0,VTANR5L15V1768
5,Parti communiste français,0.0,0.0,4.0,VTANR5L15V1768
6,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1768
7,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V1768
8,Parti socialiste,0.0,0.0,4.0,VTANR5L15V1768
9,Rassemblement national,0.0,0.0,1.0,VTANR5L15V1768
10,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V1768
11,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V1768
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V1139
1,La République en Marche,0.0,17.0,0.0,VTANR5L15V1139
2,Mouvement Démocrate,0.0,3.0,0.0,VTANR5L15V1139
3,Parti communiste français,0.0,0.0,2.0,VTANR5L15V1139
4,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1139
5,Régions et peuples solidaires,0.0,1.0,0.0,VTANR5L15V1139
6,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V1139
0,La République en Marche,0.0,0.0,27.0,VTANR5L15V1874
1,Les Républicains,0.0,0.0,5.0,VTANR5L15V1874
2,Mouvement Démocrate,0.0,0.0,3.0,VTANR5L15V1874
3,Non rattachée,0.0,0.0,1.0,VTANR5L15V1874
4,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1874
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V744
1,La République en Marche,2.0,37.0,0.0,VTANR5L15V744
2,Les Républicains,2.0,0.0,4.0,VTANR5L15V744
3,Mouvement Démocrate,0.0,4.0,0.0,VTANR5L15V744
4,Non rattachée,0.0,1.0,0.0,VTANR5L15V744
5,Parti communiste français,0.0,0.0,3.0,VTANR5L15V744
6,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V744
7,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V744
8,Parti socialiste,0.0,0.0,1.0,VTANR5L15V744
9,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V744
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V2608
1,La République en Marche,0.0,58.0,0.0,VTANR5L15V2608
2,Les Républicains,0.0,8.0,5.0,VTANR5L15V2608
3,Mouvement Démocrate,0.0,16.0,0.0,VTANR5L15V2608
4,Parti communiste français,0.0,0.0,3.0,VTANR5L15V2608
0,Calédonie Ensemble,0.0,0.0,2.0,VTANR5L15V2750
1,Cap sur l'avenir,0.0,0.0,1.0,VTANR5L15V2750
2,Debout la France,1.0,1.0,0.0,VTANR5L15V2750
3,Europe Écologie Les Verts,0.0,1.0,0.0,VTANR5L15V2750
4,La France Insoumise,0.0,17.0,0.0,VTANR5L15V2750
5,La République en Marche,0.0,12.0,269.0,VTANR5L15V2750
6,Les Républicains,0.0,87.0,0.0,VTANR5L15V2750
7,Mouvement Démocrate,0.0,0.0,50.0,VTANR5L15V2750
8,Non déclaré(s),0.0,0.0,1.0,VTANR5L15V2750
9,Non rattaché,0.0,1.0,0.0,VTANR5L15V2750
10,Non rattachée,2.0,0.0,0.0,VTANR5L15V2750
11,Parti communiste français,2.0,13.0,0.0,VTANR5L15V2750
12,Parti progressiste martiniquais,0.0,3.0,0.0,VTANR5L15V2750
13,Parti radical de gauche,3.0,0.0,0.0,VTANR5L15V2750
14,Parti socialiste,1.0,20.0,0.0,VTANR5L15V2750
15,Rassemblement national,0.0,4.0,0.0,VTANR5L15V2750
16,Régions et peuples solidaires,7.0,1.0,0.0,VTANR5L15V2750
17,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,0.0,1.0,0.0,VTANR5L15V2750
18,"Union des démocrates, radicaux et libéraux",5.0,2.0,11.0,VTANR5L15V2750
0,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V2934
1,La France Insoumise,0.0,0.0,5.0,VTANR5L15V2934
2,La République en Marche,2.0,54.0,5.0,VTANR5L15V2934
3,Les Républicains,0.0,16.0,0.0,VTANR5L15V2934
4,Mouvement Démocrate,2.0,9.0,0.0,VTANR5L15V2934
5,Non rattaché,0.0,0.0,1.0,VTANR5L15V2934
6,Parti communiste français,0.0,0.0,4.0,VTANR5L15V2934
7,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2934
8,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V2934
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V2546
1,La République en Marche,0.0,46.0,0.0,VTANR5L15V2546
2,Les Républicains,7.0,0.0,0.0,VTANR5L15V2546
3,Mouvement Démocrate,0.0,14.0,0.0,VTANR5L15V2546
4,Parti communiste français,0.0,0.0,4.0,VTANR5L15V2546
5,Parti radical de gauche,2.0,0.0,0.0,VTANR5L15V2546
6,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2546
0,La République en Marche,0.0,20.0,3.0,VTANR5L15V2924
1,Les Républicains,2.0,0.0,0.0,VTANR5L15V2924
2,Mouvement Démocrate,0.0,1.0,2.0,VTANR5L15V2924
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V3088
1,La République en Marche,0.0,58.0,2.0,VTANR5L15V3088
2,Les Républicains,2.0,2.0,0.0,VTANR5L15V3088
3,Mouvement Démocrate,0.0,5.0,0.0,VTANR5L15V3088
4,Parti communiste français,0.0,0.0,2.0,VTANR5L15V3088
5,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V3088
6,Parti socialiste,0.0,0.0,2.0,VTANR5L15V3088
7,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V3088
0,Calédonie Ensemble,0.0,0.0,2.0,VTANR5L15V2147
1,Cap sur l'avenir,0.0,0.0,1.0,VTANR5L15V2147
2,Debout la France,0.0,0.0,2.0,VTANR5L15V2147
3,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V2147
4,La France Insoumise,0.0,0.0,16.0,VTANR5L15V2147
5,La République en Marche,0.0,0.0,269.0,VTANR5L15V2147
6,Les Républicains,0.0,1.0,87.0,VTANR5L15V2147
7,Mouvement Démocrate,0.0,0.0,49.0,VTANR5L15V2147
8,Non déclaré(s),0.0,0.0,1.0,VTANR5L15V2147
9,Non rattaché,0.0,0.0,1.0,VTANR5L15V2147
10,Non rattachée,0.0,0.0,2.0,VTANR5L15V2147
11,Parti communiste français,0.0,0.0,14.0,VTANR5L15V2147
12,Parti progressiste martiniquais,0.0,0.0,3.0,VTANR5L15V2147
13,Parti radical de gauche,0.0,0.0,3.0,VTANR5L15V2147
14,Parti socialiste,0.0,0.0,22.0,VTANR5L15V2147
15,Rassemblement national,0.0,0.0,5.0,VTANR5L15V2147
16,Régions et peuples solidaires,0.0,0.0,9.0,VTANR5L15V2147
17,Tapura Huiraatira,0.0,0.0,1.0,VTANR5L15V2147
18,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,0.0,0.0,1.0,VTANR5L15V2147
19,"Union des démocrates, radicaux et libéraux",0.0,0.0,18.0,VTANR5L15V2147
0,Calédonie Ensemble,0.0,1.0,0.0,VTANR5L15V1541
1,La France Insoumise,0.0,2.0,0.0,VTANR5L15V1541
2,La République en Marche,0.0,1.0,29.0,VTANR5L15V1541
3,Les Républicains,0.0,4.0,0.0,VTANR5L15V1541
4,Mouvement Démocrate,0.0,7.0,0.0,VTANR5L15V1541
5,Parti socialiste,0.0,2.0,0.0,VTANR5L15V1541
6,Régions et peuples solidaires,0.0,2.0,0.0,VTANR5L15V1541
7,Tapura Huiraatira,0.0,1.0,0.0,VTANR5L15V1541
8,"Union des démocrates, radicaux et libéraux",0.0,6.0,0.0,VTANR5L15V1541
0,La République en Marche,0.0,25.0,0.0,VTANR5L15V915
1,Les Républicains,2.0,0.0,0.0,VTANR5L15V915
2,Mouvement Démocrate,0.0,2.0,0.0,VTANR5L15V915
3,Parti socialiste,0.0,0.0,1.0,VTANR5L15V915
4,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V915
0,Cap sur l'avenir,1.0,0.0,0.0,VTANR5L15V352
1,La France Insoumise,0.0,3.0,0.0,VTANR5L15V352
2,La République en Marche,0.0,4.0,64.0,VTANR5L15V352
3,Les Républicains,0.0,9.0,0.0,VTANR5L15V352
4,Mouvement Démocrate,0.0,11.0,0.0,VTANR5L15V352
5,Non rattachée,0.0,0.0,1.0,VTANR5L15V352
6,Parti socialiste,0.0,3.0,0.0,VTANR5L15V352
7,Régions et peuples solidaires,1.0,1.0,0.0,VTANR5L15V352
0,Debout la France,0.0,2.0,0.0,VTANR5L15V2906
1,La République en Marche,2.0,4.0,28.0,VTANR5L15V2906
2,Les Républicains,0.0,4.0,0.0,VTANR5L15V2906
3,Mouvement Démocrate,0.0,0.0,2.0,VTANR5L15V2906
4,Parti communiste français,0.0,2.0,0.0,VTANR5L15V2906
5,Parti socialiste,0.0,2.0,0.0,VTANR5L15V2906
6,Rassemblement national,0.0,1.0,0.0,VTANR5L15V2906
7,Régions et peuples solidaires,0.0,1.0,0.0,VTANR5L15V2906
0,Debout la France,0.0,1.0,0.0,VTANR5L15V2262
1,La France Insoumise,0.0,3.0,0.0,VTANR5L15V2262
2,La République en Marche,0.0,0.0,47.0,VTANR5L15V2262
3,Les Républicains,0.0,15.0,0.0,VTANR5L15V2262
4,Mouvement Démocrate,0.0,0.0,5.0,VTANR5L15V2262
5,Parti socialiste,0.0,2.0,0.0,VTANR5L15V2262
6,Rassemblement national,0.0,2.0,0.0,VTANR5L15V2262
7,"Union des démocrates, radicaux et libéraux",0.0,1.0,1.0,VTANR5L15V2262
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1349
1,La République en Marche,0.0,25.0,6.0,VTANR5L15V1349
2,Les Républicains,0.0,0.0,5.0,VTANR5L15V1349
3,Mouvement Démocrate,0.0,0.0,4.0,VTANR5L15V1349
4,Parti communiste français,0.0,0.0,2.0,VTANR5L15V1349
5,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V1349
6,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1349
7,Rassemblement national,0.0,0.0,2.0,VTANR5L15V1349
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1349
0,La République en Marche,0.0,39.0,0.0,VTANR5L15V784
1,Les Républicains,0.0,0.0,4.0,VTANR5L15V784
2,Mouvement Démocrate,0.0,3.0,0.0,VTANR5L15V784
3,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V784
4,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V784
5,Parti socialiste,0.0,0.0,2.0,VTANR5L15V784
6,Rassemblement national,0.0,0.0,1.0,VTANR5L15V784
7,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V784
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V784
0,Cap sur l'avenir,0.0,1.0,0.0,VTANR5L15V1070
1,La France Insoumise,0.0,0.0,5.0,VTANR5L15V1070
2,La République en Marche,0.0,62.0,0.0,VTANR5L15V1070
3,Les Républicains,0.0,9.0,0.0,VTANR5L15V1070
4,Mouvement Démocrate,0.0,6.0,0.0,VTANR5L15V1070
5,Parti progressiste martiniquais,0.0,1.0,0.0,VTANR5L15V1070
6,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V1070
7,Parti socialiste,0.0,1.0,1.0,VTANR5L15V1070
8,Rassemblement national,0.0,1.0,0.0,VTANR5L15V1070
9,Régions et peuples solidaires,0.0,1.0,2.0,VTANR5L15V1070
10,Tapura Huiraatira,0.0,0.0,1.0,VTANR5L15V1070
11,"Union des démocrates, radicaux et libéraux",0.0,3.0,1.0,VTANR5L15V1070
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V2666
1,La République en Marche,0.0,47.0,0.0,VTANR5L15V2666
2,Les Républicains,10.0,4.0,0.0,VTANR5L15V2666
3,Mouvement Démocrate,0.0,13.0,0.0,VTANR5L15V2666
4,Parti communiste français,0.0,0.0,4.0,VTANR5L15V2666
5,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V2666
6,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V2666
7,Parti socialiste,0.0,0.0,1.0,VTANR5L15V2666
8,Rassemblement national,0.0,0.0,1.0,VTANR5L15V2666
9,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V2666
0,Calédonie Ensemble,2.0,0.0,0.0,VTANR5L15V1923
1,Cap sur l'avenir,0.0,0.0,1.0,VTANR5L15V1923
2,Debout la France,1.0,2.0,0.0,VTANR5L15V1923
3,Europe Écologie Les Verts,0.0,1.0,0.0,VTANR5L15V1923
4,La France Insoumise,0.0,17.0,0.0,VTANR5L15V1923
5,La République en Marche,0.0,0.0,270.0,VTANR5L15V1923
6,Les Républicains,18.0,65.0,4.0,VTANR5L15V1923
7,Mouvement Démocrate,1.0,2.0,45.0,VTANR5L15V1923
8,Non déclaré(s),0.0,0.0,1.0,VTANR5L15V1923
9,Non rattachée,0.0,0.0,1.0,VTANR5L15V1923
10,Parti communiste français,0.0,15.0,0.0,VTANR5L15V1923
11,Parti progressiste martiniquais,0.0,3.0,0.0,VTANR5L15V1923
12,Parti radical de gauche,0.0,3.0,0.0,VTANR5L15V1923
13,Parti socialiste,1.0,21.0,0.0,VTANR5L15V1923
14,Rassemblement national,5.0,0.0,0.0,VTANR5L15V1923
15,Régions et peuples solidaires,1.0,7.0,0.0,VTANR5L15V1923
16,Tapura Huiraatira,1.0,0.0,0.0,VTANR5L15V1923
17,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,0.0,1.0,0.0,VTANR5L15V1923
18,"Union des démocrates, radicaux et libéraux",16.0,2.0,0.0,VTANR5L15V1923
0,Cap sur l'avenir,0.0,1.0,0.0,VTANR5L15V2287
1,Debout la France,0.0,0.0,1.0,VTANR5L15V2287
2,La République en Marche,0.0,45.0,0.0,VTANR5L15V2287
3,Les Républicains,2.0,0.0,11.0,VTANR5L15V2287
4,Mouvement Démocrate,1.0,4.0,0.0,VTANR5L15V2287
5,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2287
6,Parti socialiste,0.0,0.0,3.0,VTANR5L15V2287
7,Rassemblement national,0.0,0.0,1.0,VTANR5L15V2287
8,"Union des démocrates, radicaux et libéraux",1.0,0.0,0.0,VTANR5L15V2287
0,Debout la France,0.0,0.0,1.0,VTANR5L15V2018
1,La France Insoumise,2.0,0.0,0.0,VTANR5L15V2018
2,La République en Marche,0.0,44.0,0.0,VTANR5L15V2018
3,Les Républicains,0.0,0.0,13.0,VTANR5L15V2018
4,Mouvement Démocrate,0.0,7.0,0.0,VTANR5L15V2018
5,Parti communiste français,2.0,0.0,0.0,VTANR5L15V2018
6,Rassemblement national,0.0,0.0,3.0,VTANR5L15V2018
7,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V2018
8,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V2018
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1339
1,La République en Marche,0.0,33.0,0.0,VTANR5L15V1339
2,Les Républicains,0.0,6.0,0.0,VTANR5L15V1339
3,Mouvement Démocrate,0.0,1.0,0.0,VTANR5L15V1339
4,Parti socialiste,2.0,0.0,0.0,VTANR5L15V1339
5,Rassemblement national,0.0,2.0,0.0,VTANR5L15V1339
0,La France Insoumise,0.0,0.0,5.0,VTANR5L15V306
1,La République en Marche,0.0,33.0,0.0,VTANR5L15V306
2,Non rattachée,0.0,1.0,0.0,VTANR5L15V306
3,Parti communiste français,0.0,0.0,3.0,VTANR5L15V306
0,La République en Marche,0.0,42.0,0.0,VTANR5L15V2892
1,Les Républicains,0.0,0.0,12.0,VTANR5L15V2892
2,Mouvement Démocrate,0.0,7.0,0.0,VTANR5L15V2892
3,Non rattachée,0.0,0.0,1.0,VTANR5L15V2892
4,Parti socialiste,0.0,0.0,3.0,VTANR5L15V2892
5,Rassemblement national,0.0,0.0,1.0,VTANR5L15V2892
6,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V2892
0,La France Insoumise,2.0,0.0,0.0,VTANR5L15V2675
1,La République en Marche,0.0,0.0,47.0,VTANR5L15V2675
2,Les Républicains,10.0,0.0,0.0,VTANR5L15V2675
3,Mouvement Démocrate,0.0,0.0,11.0,VTANR5L15V2675
4,Parti communiste français,5.0,0.0,0.0,VTANR5L15V2675
5,Parti radical de gauche,2.0,0.0,0.0,VTANR5L15V2675
6,Parti socialiste,1.0,0.0,0.0,VTANR5L15V2675
7,Rassemblement national,1.0,0.0,0.0,VTANR5L15V2675
8,Régions et peuples solidaires,2.0,0.0,0.0,VTANR5L15V2675
9,"Union des démocrates, radicaux et libéraux",1.0,0.0,0.0,VTANR5L15V2675
0,La France Insoumise,0.0,2.0,0.0,VTANR5L15V1960
1,La République en Marche,0.0,0.0,27.0,VTANR5L15V1960
2,Les Républicains,0.0,0.0,1.0,VTANR5L15V1960
3,Mouvement Démocrate,0.0,0.0,2.0,VTANR5L15V1960
4,Non rattachée,0.0,0.0,1.0,VTANR5L15V1960
5,Parti communiste français,0.0,2.0,0.0,VTANR5L15V1960
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1323
1,La République en Marche,0.0,0.0,34.0,VTANR5L15V1323
2,Les Républicains,0.0,0.0,1.0,VTANR5L15V1323
3,Mouvement Démocrate,0.0,0.0,3.0,VTANR5L15V1323
4,Non rattachée,0.0,0.0,1.0,VTANR5L15V1323
5,Parti communiste français,0.0,0.0,2.0,VTANR5L15V1323
6,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1323
7,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1323
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1371
1,La République en Marche,0.0,20.0,0.0,VTANR5L15V1371
2,Les Républicains,0.0,0.0,4.0,VTANR5L15V1371
3,Mouvement Démocrate,0.0,0.0,1.0,VTANR5L15V1371
4,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1371
0,La République en Marche,0.0,18.0,0.0,VTANR5L15V2281
1,Les Républicains,2.0,0.0,0.0,VTANR5L15V2281
2,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V2281
3,Régions et peuples solidaires,0.0,0.0,3.0,VTANR5L15V2281
0,La France Insoumise,0.0,0.0,6.0,VTANR5L15V451
1,La République en Marche,0.0,50.0,0.0,VTANR5L15V451
2,Les Républicains,3.0,9.0,0.0,VTANR5L15V451
3,Mouvement Démocrate,0.0,4.0,0.0,VTANR5L15V451
4,Non rattaché,0.0,1.0,0.0,VTANR5L15V451
5,Parti communiste français,0.0,0.0,8.0,VTANR5L15V451
6,Rassemblement national,2.0,0.0,0.0,VTANR5L15V451
7,"Union des démocrates, radicaux et libéraux",0.0,2.0,0.0,VTANR5L15V451
0,La République en Marche,0.0,0.0,27.0,VTANR5L15V2387
1,Les Républicains,0.0,5.0,0.0,VTANR5L15V2387
2,Mouvement Démocrate,0.0,0.0,5.0,VTANR5L15V2387
3,Parti socialiste,0.0,2.0,0.0,VTANR5L15V2387
4,Régions et peuples solidaires,0.0,3.0,0.0,VTANR5L15V2387
0,Cap sur l'avenir,1.0,0.0,0.0,VTANR5L15V1906
1,La République en Marche,3.0,15.0,0.0,VTANR5L15V1906
2,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1906
3,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V1906
0,La France Insoumise,0.0,3.0,0.0,VTANR5L15V227
1,La République en Marche,0.0,0.0,32.0,VTANR5L15V227
2,Les Républicains,0.0,4.0,0.0,VTANR5L15V227
3,Mouvement Démocrate,0.0,1.0,3.0,VTANR5L15V227
4,Parti communiste français,0.0,3.0,0.0,VTANR5L15V227
5,Parti socialiste,0.0,1.0,0.0,VTANR5L15V227
6,Régions et peuples solidaires,0.0,1.0,0.0,VTANR5L15V227
7,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V227
0,La République en Marche,0.0,0.0,21.0,VTANR5L15V2210
1,Les Républicains,4.0,0.0,0.0,VTANR5L15V2210
2,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2210
0,La France Insoumise,0.0,5.0,0.0,VTANR5L15V2272
1,La République en Marche,0.0,55.0,0.0,VTANR5L15V2272
2,Les Républicains,0.0,0.0,10.0,VTANR5L15V2272
3,Mouvement Démocrate,0.0,6.0,0.0,VTANR5L15V2272
4,Non rattaché,0.0,1.0,0.0,VTANR5L15V2272
5,Parti communiste français,0.0,3.0,0.0,VTANR5L15V2272
6,Parti radical de gauche,0.0,2.0,0.0,VTANR5L15V2272
7,Rassemblement national,0.0,0.0,3.0,VTANR5L15V2272
8,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V2272
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1425
1,La République en Marche,0.0,20.0,0.0,VTANR5L15V1425
2,Mouvement Démocrate,0.0,3.0,0.0,VTANR5L15V1425
3,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1425
4,Parti socialiste,0.0,0.0,1.0,VTANR5L15V1425
0,Cap sur l'avenir,0.0,1.0,0.0,VTANR5L15V3098
1,Debout la France,0.0,0.0,1.0,VTANR5L15V3098
2,La France Insoumise,0.0,0.0,6.0,VTANR5L15V3098
3,La République en Marche,0.0,228.0,1.0,VTANR5L15V3098
4,Les Républicains,0.0,0.0,67.0,VTANR5L15V3098
5,Mouvement Démocrate,2.0,40.0,0.0,VTANR5L15V3098
6,Non rattaché,0.0,0.0,1.0,VTANR5L15V3098
7,Non rattachée,0.0,1.0,0.0,VTANR5L15V3098
8,Parti communiste français,0.0,0.0,4.0,VTANR5L15V3098
9,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V3098
10,Parti socialiste,0.0,0.0,14.0,VTANR5L15V3098
11,Rassemblement national,0.0,0.0,1.0,VTANR5L15V3098
12,Régions et peuples solidaires,0.0,0.0,5.0,VTANR5L15V3098
13,Tapura Huiraatira,0.0,1.0,0.0,VTANR5L15V3098
14,"Union des démocrates, radicaux et libéraux",0.0,1.0,12.0,VTANR5L15V3098
0,La République en Marche,0.0,0.0,60.0,VTANR5L15V2346
1,Les Républicains,0.0,0.0,13.0,VTANR5L15V2346
2,Mouvement Démocrate,0.0,0.0,7.0,VTANR5L15V2346
3,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2346
4,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2346
5,Régions et peuples solidaires,0.0,0.0,3.0,VTANR5L15V2346
6,"Union des démocrates, radicaux et libéraux",0.0,0.0,5.0,VTANR5L15V2346
0,La République en Marche,0.0,0.0,26.0,VTANR5L15V1930
1,Les Républicains,0.0,0.0,3.0,VTANR5L15V1930
2,Mouvement Démocrate,0.0,0.0,2.0,VTANR5L15V1930
0,Cap sur l'avenir,0.0,1.0,0.0,VTANR5L15V2834
1,La France Insoumise,0.0,0.0,2.0,VTANR5L15V2834
2,La République en Marche,0.0,45.0,4.0,VTANR5L15V2834
3,Les Républicains,0.0,9.0,0.0,VTANR5L15V2834
4,Mouvement Démocrate,0.0,6.0,0.0,VTANR5L15V2834
5,Non rattachée,0.0,1.0,0.0,VTANR5L15V2834
6,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2834
7,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V2834
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1661
1,La République en Marche,0.0,0.0,43.0,VTANR5L15V1661
2,Les Républicains,0.0,0.0,3.0,VTANR5L15V1661
3,Mouvement Démocrate,0.0,0.0,3.0,VTANR5L15V1661
4,Non rattaché,0.0,0.0,1.0,VTANR5L15V1661
5,Parti communiste français,0.0,0.0,4.0,VTANR5L15V1661
6,Parti progressiste martiniquais,0.0,0.0,3.0,VTANR5L15V1661
7,Parti socialiste,0.0,0.0,10.0,VTANR5L15V1661
8,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1661
9,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V1661
0,La République en Marche,0.0,29.0,0.0,VTANR5L15V2215
1,Les Républicains,0.0,7.0,0.0,VTANR5L15V2215
2,Parti socialiste,2.0,0.0,0.0,VTANR5L15V2215
0,La France Insoumise,0.0,2.0,0.0,VTANR5L15V2983
1,La République en Marche,0.0,0.0,36.0,VTANR5L15V2983
2,Les Républicains,0.0,11.0,0.0,VTANR5L15V2983
